solid,structure,method,eos_mesh,energy_mesh,fit_status,sp_completed,a_calc_A,a_ref_exp_A,a_error_A,a_abs_error_A,ecoh_calc_eV_per_atom,ecoh_ref_exp_eV_per_atom,ecoh_error_eV_per_atom,ecoh_abs_error_eV_per_atom,solid_energy_hartree,atom_reference_source,a_HF_A,a_MP2_A,a_SCS_MP2_A,a_SOS_MP2_A,ecoh_HF_eV_per_atom,ecoh_MP2_eV_per_atom,ecoh_SCS_MP2_eV_per_atom,ecoh_SOS_MP2_eV_per_atom
LiF,rocksalt,GFN1,k444,k555,quadratic,True,3.64607389,3.973,-0.32692611,0.32692611,5.24633886,4.46,0.78633886,0.78633886,-22.598860316112,tblite_cli,3.964,3.99,3.992,3.993,3.41,4.58,4.49,4.44
LiF,rocksalt,GFN2,k444,k333,quadratic,True,3.54098365,3.973,-0.43201635,0.43201635,6.53795620,4.46,2.07795620,2.07795620,-21.119770239352,tblite_cli,3.964,3.99,3.992,3.993,3.41,4.58,4.49,4.44
LiF,rocksalt,GFN2,k444,k444,quadratic,True,3.54098365,3.973,-0.43201635,0.43201635,6.54078200,4.46,2.08078200,2.08078200,-21.120601010193,tblite_cli,3.964,3.99,3.992,3.993,3.41,4.58,4.49,4.44
LiF,rocksalt,GFN2,k444,k555,quadratic,True,3.54098365,3.973,-0.43201635,0.43201635,6.54159577,4.46,2.08159577,2.08159577,-21.120840252028,tblite_cli,3.964,3.99,3.992,3.993,3.41,4.58,4.49,4.44
LiCl,rocksalt,GFN1,k444,k333,quadratic,True,4.87556998,5.072,-0.19643002,0.19643002,4.57110067,3.58,0.99110067,0.99110067,-19.077980355076,tblite_cli,5.253,5.021,5.059,5.078,2.73,3.69,3.58,3.52
LiCl,rocksalt,GFN1,k444,k444,quadratic,True,4.87556998,5.072,-0.19643002,0.19643002,4.57761950,3.58,0.99761950,0.99761950,-19.079896856327,tblite_cli,5.253,5.021,5.059,5.078,2.73,3.69,3.58,3.52
LiCl,rocksalt,GFN1,k444,k555,quadratic,True,4.87556998,5.072,-0.19643002,0.19643002,4.57850665,3.58,0.99850665,0.99850665,-19.080157673793,tblite_cli,5.253,5.021,5.059,5.078,2.73,3.69,3.58,3.52
LiCl,rocksalt,GFN2,k444,k333,quadratic,True,4.87705243,5.072,-0.19494757,0.19494757,4.67439608,3.58,1.09439608,1.09439608,-20.024634382657,tblite_cli,5.253,5.021,5.059,5.078,2.73,3.69,3.58,3.52
LiCl,rocksalt,GFN2,k444,k444,quadratic,True,4.87705243,5.072,-0.19494757,0.19494757,4.67971648,3.58,1.09971648,1.09971648,-20.026198551816,tblite_cli,5.253,5.021,5.059,5.078,2.73,3.69,3.58,3.52
LiCl,rocksalt,GFN2,k444,k555,quadratic,True,4.87705243,5.072,-0.19494757,0.19494757,4.68106654,3.58,1.10106654,1.10106654,-20.026595462040,tblite_cli,5.253,5.021,5.059,5.078,2.73,3.69,3.58,3.52
